<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.10.15	13:00:00	1.37276	1.37454	1.37254	1.37451	3349	0	0
2021.10.15	14:00:00	1.37450	1.37578	1.37419	1.37509	4116	0	0
2021.10.15	15:00:00	1.37507	1.37547	1.37331	1.37337	4863	0	0
2021.10.15	16:00:00	1.37340	1.37576	1.37325	1.37547	5279	0	0
2021.10.15	17:00:00	1.37550	1.37730	1.37434	1.37692	5313	0	0
2021.10.15	18:00:00	1.37692	1.37708	1.37529	1.37555	4294	0	0
2021.10.15	19:00:00	1.37555	1.37639	1.37541	1.37581	3478	0	0
2021.10.15	20:00:00	1.37581	1.37590	1.37540	1.37551	2425	0	0
2021.10.15	21:00:00	1.37551	1.37618	1.37466	1.37481	3344	0	1
2021.10.15	22:00:00	1.37480	1.37510	1.37400	1.37426	1531	0	0
2021.10.15	23:00:00	1.37426	1.37473	1.37385	1.37440	1341	0	9
2021.10.18	00:00:00	1.37439	1.37576	1.37372	1.37527	752	0	29
2021.10.18	01:00:00	1.37494	1.37612	1.37477	1.37599	2536	0	11
2021.10.18	02:00:00	1.37603	1.37647	1.37566	1.37602	1567	0	0
2021.10.18	03:00:00	1.37604	1.37632	1.37420	1.37431	1922	0	0
2021.10.18	04:00:00	1.37430	1.37460	1.37338	1.37347	2043	0	0
2021.10.18	05:00:00	1.37347	1.37427	1.37343	1.37402	1682	0	1
2021.10.18	06:00:00	1.37403	1.37421	1.37271	1.37291	1435	0	0
2021.10.18	07:00:00	1.37293	1.37346	1.37293	1.37303	1158	0	0
2021.10.18	08:00:00	1.37303	1.37326	1.37243	1.37267	1787	0	0
2021.10.18	09:00:00	1.37268	1.37378	1.37193	1.37359	3319	0	0
2021.10.18	10:00:00	1.37359	1.37471	1.37282	1.37470	4650	0	0
2021.10.18	11:00:00	1.37471	1.37472	1.37163	1.37194	3704	0	0
2021.10.18	12:00:00	1.37194	1.37391	1.37185	1.37322	3485	0	0
2021.10.18	13:00:00	1.37322	1.37359	1.37233	1.37272	3785	0	0
2021.10.18	14:00:00	1.37273	1.37385	1.37231	1.37341	3575	0	0
2021.10.18	15:00:00	1.37341	1.37458	1.37276	1.37322	5502	0	0
2021.10.18	16:00:00	1.37322	1.37397	1.37212	1.37306	6384	0	0
2021.10.18	17:00:00	1.37306	1.37347	1.37190	1.37203	5683	0	0
2021.10.18	18:00:00	1.37204	1.37274	1.37095	1.37270	4187	0	0
2021.10.18	19:00:00	1.37270	1.37357	1.37233	1.37327	3169	0	0
2021.10.18	20:00:00	1.37328	1.37400	1.37310	1.37365	1960	0	0
2021.10.18	21:00:00	1.37364	1.37375	1.37288	1.37291	2420	0	0
