<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.13	0.71584	0.71876	0.71355	0.71478	42171	0	2
2020.08.14	0.71480	0.71749	0.71319	0.71719	33164	0	2
2020.08.17	0.71632	0.72274	0.71629	0.72133	31142	0	2
2020.08.18	0.72129	0.72643	0.72086	0.72423	45722	0	2
2020.08.19	0.72420	0.72753	0.71791	0.71805	47411	0	1
2020.08.20	0.71803	0.72021	0.71354	0.71913	49316	0	2
2020.08.21	0.71904	0.72158	0.71392	0.71596	47008	0	2
2020.08.24	0.71511	0.72037	0.71451	0.71619	36920	0	2
2020.08.25	0.71607	0.71976	0.71500	0.71937	36533	0	2
2020.08.26	0.71940	0.72395	0.71871	0.72323	38149	0	2
2020.08.27	0.72312	0.72902	0.72165	0.72582	56143	0	2
2020.08.28	0.72582	0.73655	0.72542	0.73654	53195	0	1
2020.08.31	0.73585	0.74031	0.73398	0.73749	45838	0	1
2020.09.01	0.73726	0.74134	0.73589	0.73715	61200	0	2
2020.09.02	0.73712	0.73813	0.73010	0.73374	53213	0	2
2020.09.03	0.73374	0.73392	0.72648	0.72723	57870	0	2
2020.09.04	0.72722	0.72987	0.72217	0.72846	57969	0	2
2020.09.07	0.72855	0.72978	0.72699	0.72747	32282	0	2
2020.09.08	0.72759	0.73087	0.72102	0.72128	51756	0	2
2020.09.09	0.72125	0.72876	0.71917	0.72822	47089	0	0
2020.09.10	0.72805	0.73242	0.72474	0.72573	52263	0	2
2020.09.11	0.72567	0.73058	0.72518	0.72814	42551	0	2
2020.09.14	0.72752	0.73034	0.72640	0.72878	31896	0	2
2020.09.15	0.72871	0.73421	0.72666	0.73010	31495	0	2
2020.09.16	0.73010	0.73449	0.72780	0.73047	42428	0	1
2020.09.17	0.73037	0.73151	0.72537	0.73112	57008	0	2
2020.09.18	0.73132	0.73337	0.72823	0.72882	42441	0	2
2020.09.21	0.72958	0.73240	0.71987	0.72229	49870	0	2
2020.09.22	0.72255	0.72348	0.71542	0.71690	48546	0	0
2020.09.23	0.71685	0.71774	0.70682	0.70701	54785	0	0
2020.09.24	0.70696	0.70820	0.70160	0.70426	61683	0	0
2020.09.25	0.70426	0.70868	0.70056	0.70303	48923	0	0
2020.09.28	0.70293	0.70743	0.70264	0.70700	42041	0	0
2020.09.29	0.70699	0.71380	0.70684	0.71311	43921	0	0
2020.09.30	0.71314	0.71752	0.70999	0.71597	54245	0	0
2020.10.01	0.71608	0.72091	0.71549	0.71825	54760	0	0
2020.10.02	0.71813	0.71880	0.71305	0.71631	64382	0	0
2020.10.05	0.71652	0.71931	0.71558	0.71787	37602	0	0
2020.10.06	0.71787	0.72085	0.70998	0.71008	50326	0	0
2020.10.07	0.71002	0.71514	0.70950	0.71349	43665	0	0
2020.10.08	0.71368	0.71698	0.71230	0.71669	36743	0	0
2020.10.09	0.71676	0.72429	0.71574	0.72406	36182	0	0
2020.10.12	0.72261	0.72347	0.72033	0.72069	33869	0	0
2020.10.13	0.72067	0.72137	0.71501	0.71587	55879	0	0
2020.10.14	0.71584	0.71906	0.71522	0.71612	53234	0	0
2020.10.15	0.71591	0.71679	0.70560	0.70925	64705	0	0
2020.10.16	0.70930	0.70972	0.70704	0.70765	51280	0	0
2020.10.19	0.70757	0.71147	0.70582	0.70628	47098	0	0
2020.10.20	0.70628	0.70724	0.70206	0.70468	48089	0	0
2020.10.21	0.70469	0.71366	0.70322	0.71150	55443	0	0
2020.10.22	0.71158	0.71250	0.70849	0.71165	51155	0	0
2020.10.23	0.71164	0.71580	0.71008	0.71367	45250	0	0
2020.10.26	0.71400	0.71464	0.71028	0.71182	55143	0	0
2020.10.27	0.71182	0.71468	0.71138	0.71229	49118	0	0
2020.10.28	0.71228	0.71571	0.70380	0.70455	61955	0	0
2020.10.29	0.70454	0.70759	0.70023	0.70296	66812	0	0
2020.10.30	0.70296	0.70721	0.70112	0.70278	69463	0	0
2020.11.02	0.70209	0.70572	0.69909	0.70525	57571	0	0
2020.11.03	0.70538	0.71744	0.70278	0.71615	38906	0	0
2020.11.04	0.71615	0.72214	0.70482	0.71763	83977	0	0
2020.11.05	0.71745	0.72890	0.71448	0.72814	74621	0	0
2020.11.06	0.72827	0.72871	0.72388	0.72592	69812	0	0
2020.11.09	0.72747	0.73397	0.72667	0.72808	83955	0	0
2020.11.10	0.72805	0.72940	0.72523	0.72817	77392	0	0
2020.11.11	0.72841	0.73179	0.72599	0.72798	50496	0	0
2020.11.12	0.72796	0.72937	0.72233	0.72294	50189	0	0
2020.11.13	0.72294	0.72730	0.72213	0.72690	37509	0	0
2020.11.16	0.72612	0.73263	0.72612	0.73175	46398	0	0
2020.11.17	0.73168	0.73397	0.72887	0.72975	40781	0	0
2020.11.18	0.72974	0.73308	0.72717	0.73048	46488	0	0
2020.11.19	0.73049	0.73057	0.72544	0.72820	48170	0	0
2020.11.20	0.72816	0.73237	0.72657	0.73045	44993	0	0
2020.11.23	0.73001	0.73373	0.72652	0.72856	40795	0	0
2020.11.24	0.72848	0.73674	0.72829	0.73597	41968	0	0
2020.11.25	0.73598	0.73733	0.73249	0.73639	41122	0	0
2020.11.26	0.73627	0.73743	0.73522	0.73560	23853	0	0
2020.11.27	0.73557	0.73988	0.73520	0.73837	33179	0	0
2020.11.30	0.73824	0.74072	0.73389	0.73405	44528	0	0
2020.12.01	0.73407	0.73731	0.73377	0.73707	51958	0	0
2020.12.02	0.73707	0.74199	0.73513	0.74151	66193	0	1
2020.12.03	0.74159	0.74493	0.73980	0.74408	54433	0	1
2020.12.04	0.74408	0.74437	0.74099	0.74269	59618	0	0
2020.12.07	0.74291	0.74535	0.73725	0.74190	57240	0	2
2020.12.08	0.74186	0.74350	0.73991	0.74088	55350	0	2
2020.12.09	0.74084	0.74853	0.74047	0.74420	59328	0	2
2020.12.10	0.74411	0.75396	0.74251	0.75338	66677	0	2
2020.12.11	0.75337	0.75718	0.75202	0.75353	59809	0	0
2020.12.14	0.75491	0.75780	0.75242	0.75320	49404	0	3
2020.12.15	0.75319	0.75716	0.75070	0.75573	51330	0	2
2020.12.16	0.75573	0.75787	0.75387	0.75753	54043	0	3
2020.12.17	0.75743	0.76394	0.75672	0.76252	45380	0	3
2020.12.18	0.76241	0.76277	0.75824	0.76214	45736	0	2
2020.12.21	0.75846	0.76063	0.74618	0.75831	90061	0	2
2020.12.22	0.75840	0.75906	0.75171	0.75203	69478	0	2
2020.12.23	0.75214	0.75915	0.75167	0.75733	66586	0	2
2020.12.24	0.75734	0.76064	0.75679	0.75929	43817	0	2
2020.12.28	0.76001	0.76224	0.75572	0.75758	47044	0	2
2020.12.29	0.75751	0.76247	0.75741	0.76023	45132	0	2
2020.12.30	0.76028	0.76860	0.76017	0.76843	47706	0	2
2020.12.31	0.76847	0.77420	0.76718	0.77083	43835	0	1
2021.01.04	0.76987	0.77407	0.76421	0.76617	74936	0	2
2021.01.05	0.76617	0.77772	0.76586	0.77573	84479	0	1
2021.01.06	0.77565	0.78200	0.77332	0.77997	117973	0	2
2021.01.07	0.77993	0.78173	0.77255	0.77665	84673	0	2
2021.01.08	0.77663	0.77986	0.77284	0.77648	103415	0	2
2021.01.11	0.77512	0.77612	0.76660	0.76955	83678	0	2
2021.01.12	0.76949	0.77773	0.76866	0.77702	73782	0	2
2021.01.13	0.77698	0.77813	0.77213	0.77313	65806	0	2
2021.01.14	0.77324	0.78051	0.77286	0.77773	71495	0	2
2021.01.15	0.77770	0.77886	0.76815	0.77030	80445	0	2
2021.01.18	0.77071	0.77104	0.76589	0.76784	65779	0	1
2021.01.19	0.76804	0.77252	0.76713	0.76931	67890	0	2
2021.01.20	0.76945	0.77609	0.76904	0.77436	70245	0	2
2021.01.21	0.77432	0.77821	0.77397	0.77632	68967	0	2
2021.01.22	0.77630	0.77696	0.77019	0.77152	67008	0	2
2021.01.25	0.77155	0.77471	0.76829	0.77124	74423	0	2
2021.01.26	0.77122	0.77540	0.76689	0.77451	55204	0	1
2021.01.27	0.77422	0.77637	0.76438	0.76628	96149	0	1
2021.01.28	0.76622	0.76977	0.75918	0.76760	103672	0	2
2021.01.29	0.76791	0.77040	0.76311	0.76411	104810	0	2
2021.02.01	0.76211	0.76626	0.76056	0.76181	89214	0	2
2021.02.02	0.76179	0.76615	0.75636	0.76062	73547	0	2
2021.02.03	0.76058	0.76263	0.76013	0.76172	65546	0	0
2021.02.04	0.76169	0.76478	0.75881	0.75993	66973	0	1
2021.02.05	0.75984	0.76785	0.75829	0.76772	69895	0	2
2021.02.08	0.76661	0.77145	0.76513	0.77042	58711	0	2
2021.02.09	0.76992	0.77401	0.76990	0.77378	58322	0	2
2021.02.10	0.77380	0.77560	0.77172	0.77209	62172	0	2
2021.02.11	0.77209	0.77712	0.77125	0.77489	61800	0	2
2021.02.12	0.77511	0.77644	0.77181	0.77611	56419	0	2
2021.02.15	0.77611	0.77888	0.77583	0.77790	42381	0	2
2021.02.16	0.77796	0.78053	0.77447	0.77545	81036	0	2
2021.02.17	0.77576	0.77718	0.77242	0.77481	88231	0	2
2021.02.18	0.77484	0.77897	0.77312	0.77651	88188	0	2
2021.02.19	0.77666	0.78771	0.77573	0.78682	89675	0	2
2021.02.22	0.78691	0.79293	0.78554	0.79129	91041	0	2
2021.02.23	0.79131	0.79349	0.78804	0.79097	93001	0	2
2021.02.24	0.79089	0.79734	0.78950	0.79663	109074	0	3
2021.02.25	0.79662	0.80071	0.78585	0.78708	136342	0	1
2021.02.26	0.78703	0.78835	0.76922	0.77028	170770	0	3
2021.03.01	0.77091	0.77865	0.77071	0.77692	115309	0	3
2021.03.02	0.77713	0.78376	0.77355	0.78186	104989	0	3
2021.03.03	0.78161	0.78382	0.77705	0.77732	89854	0	3
2021.03.04	0.77726	0.78149	0.77083	0.77210	122410	0	3
2021.03.05	0.77205	0.77278	0.76219	0.76818	125571	0	0
2021.03.08	0.76904	0.77220	0.76363	0.76468	135188	0	3
2021.03.09	0.76468	0.77258	0.76213	0.77153	112510	0	3
2021.03.10	0.77155	0.77455	0.76685	0.77337	103908	0	3
2021.03.11	0.77328	0.77935	0.77232	0.77869	88629	0	3
2021.03.12	0.77872	0.78005	0.77246	0.77583	95149	0	1
2021.03.15	0.77554	0.77755	0.77058	0.77517	79546	0	3
2021.03.16	0.77517	0.77574	0.77108	0.77418	71673	0	3
2021.03.17	0.77418	0.78104	0.76991	0.77956	80625	0	3
2021.03.18	0.77956	0.78490	0.77492	0.77559	102868	0	3
2021.03.19	0.77566	0.77724	0.77174	0.77459	94983	0	3
2021.03.22	0.77164	0.77563	0.77048	0.77440	71170	0	3
2021.03.23	0.77440	0.77473	0.76170	0.76305	79871	0	3
2021.03.24	0.76306	0.76340	0.75780	0.75819	77669	0	3
2021.03.25	0.75835	0.76141	0.75628	0.75800	84949	0	3
2021.03.26	0.75807	0.76412	0.75795	0.76411	61276	0	3
2021.03.29	0.76312	0.76559	0.76150	0.76304	67903	0	3
2021.03.30	0.76302	0.76636	0.75850	0.75953	65416	0	3
2021.03.31	0.75957	0.76362	0.75813	0.75944	62626	0	3
2021.04.01	0.75932	0.76198	0.75316	0.76160	70257	0	3
2021.04.02	0.76155	0.76375	0.75920	0.76098	25573	0	3
2021.04.05	0.76011	0.76604	0.75983	0.76490	39131	0	2
2021.04.06	0.76515	0.76682	0.76061	0.76620	57350	0	3
2021.04.07	0.76624	0.76769	0.76005	0.76123	65874	0	3
2021.04.08	0.76119	0.76601	0.76026	0.76520	55637	0	3
2021.04.09	0.76520	0.76611	0.75880	0.76189	58987	0	3
2021.04.12	0.76112	0.76355	0.75947	0.76218	56983	0	1
2021.04.13	0.76212	0.76484	0.75844	0.76394	64164	0	3
2021.04.14	0.76396	0.77378	0.76345	0.77231	50860	0	3
2021.04.15	0.77226	0.77607	0.77057	0.77495	48211	0	3
2021.04.16	0.77495	0.77587	0.77241	0.77334	39951	0	3
2021.04.19	0.77266	0.77844	0.77059	0.77560	44349	0	0
2021.04.20	0.77560	0.78159	0.77092	0.77231	48546	0	3
2021.04.21	0.77235	0.77620	0.76990	0.77495	43679	0	3
2021.04.22	0.77495	0.77645	0.76903	0.77035	50994	0	3
2021.04.23	0.77055	0.77601	0.76969	0.77486	41018	0	3
2021.04.26	0.77389	0.78147	0.77385	0.77973	39523	0	1
2021.04.27	0.77971	0.78036	0.77616	0.77622	37823	0	3
2021.04.28	0.77623	0.78008	0.77249	0.77883	46347	0	3
2021.04.29	0.77877	0.78179	0.77504	0.77651	44533	0	3
2021.04.30	0.77642	0.77841	0.76959	0.77117	46681	0	1
2021.05.03	0.77190	0.77666	0.77060	0.77578	36614	0	3
2021.05.04	0.77576	0.77634	0.76746	0.77067	51450	0	3
2021.05.05	0.77067	0.77545	0.76990	0.77460	42808	0	3
2021.05.06	0.77460	0.77874	0.77009	0.77809	49158	0	2
2021.05.07	0.77825	0.78624	0.77609	0.78435	50088	0	3
2021.05.10	0.78570	0.78909	0.78267	0.78285	45419	0	3
2021.05.11	0.78277	0.78566	0.78199	0.78401	59596	0	3
2021.05.12	0.78398	0.78440	0.77189	0.77229	65337	0	2
2021.05.13	0.77237	0.77461	0.76880	0.77270	63683	0	0
2021.05.14	0.77269	0.77872	0.77138	0.77825	49558	0	3
2021.05.17	0.77650	0.77834	0.77302	0.77636	46419	0	3
2021.05.18	0.77636	0.78133	0.77511	0.77898	43886	0	3
2021.05.19	0.77898	0.78033	0.77106	0.77257	71847	0	2
2021.05.20	0.77247	0.77815	0.77160	0.77718	51070	0	3
2021.05.21	0.77731	0.77826	0.77188	0.77297	47150	0	4
2021.05.24	0.77242	0.77575	0.77059	0.77504	41294	0	2
2021.05.25	0.77500	0.77762	0.77327	0.77487	47294	0	3
2021.05.26	0.77486	0.77958	0.77308	0.77399	46857	0	3
2021.05.27	0.77397	0.77573	0.77228	0.77416	47960	0	3
2021.05.28	0.77422	0.77470	0.76772	0.77081	46348	0	4
2021.05.31	0.77042	0.77411	0.77002	0.77307	30316	0	3
2021.06.01	0.77311	0.77691	0.77277	0.77498	43058	0	3
2021.06.02	0.77503	0.77729	0.77151	0.77511	40870	0	4
2021.06.03	0.77510	0.77536	0.76465	0.76549	46508	0	3
2021.06.04	0.76556	0.77449	0.76442	0.77428	42927	0	3
2021.06.07	0.77267	0.77653	0.77214	0.77542	31990	0	2
2021.06.08	0.77542	0.77633	0.77313	0.77375	36131	0	2
2021.06.09	0.77371	0.77621	0.77240	0.77294	32401	0	4
2021.06.10	0.77279	0.77634	0.77160	0.77501	48295	0	4
2021.06.11	0.77501	0.77752	0.76882	0.77025	36775	0	3
2021.06.14	0.77040	0.77258	0.76937	0.77101	33324	0	3
2021.06.15	0.77087	0.77166	0.76742	0.76860	38894	0	3
2021.06.16	0.76857	0.77155	0.76067	0.76079	53627	0	3
2021.06.17	0.76064	0.76455	0.75395	0.75504	70098	0	3
2021.06.18	0.75464	0.75611	0.74786	0.74793	55717	0	3
2021.06.21	0.74812	0.75461	0.74765	0.75403	65660	0	3
2021.06.22	0.75403	0.75640	0.74937	0.75534	50738	0	3
2021.06.23	0.75534	0.75989	0.75314	0.75748	53757	0	3
2021.06.24	0.75727	0.75916	0.75655	0.75815	46903	0	3
2021.06.25	0.75806	0.76166	0.75795	0.75926	44832	0	3
2021.06.28	0.75712	0.76016	0.75542	0.75657	41156	0	3
2021.06.29	0.75650	0.75705	0.75074	0.75105	43668	0	3
2021.06.30	0.75099	0.75273	0.74917	0.74965	46481	0	3
2021.07.01	0.74961	0.75078	0.74600	0.74693	46493	0	3
2021.07.02	0.74680	0.75327	0.74441	0.75255	46551	0	3
2021.07.05	0.75172	0.75372	0.75089	0.75284	34904	0	3
2021.07.06	0.75247	0.75988	0.74808	0.74931	54508	0	3
2021.07.07	0.74933	0.75335	0.74627	0.74824	50601	0	3
2021.07.08	0.74824	0.74897	0.74165	0.74302	76676	0	3
2021.07.09	0.74267	0.74938	0.74095	0.74904	62533	0	3
2021.07.12	0.74732	0.74958	0.74482	0.74779	42798	0	3
2021.07.13	0.74779	0.75030	0.74261	0.74453	43528	0	3
2021.07.14	0.74438	0.74858	0.74309	0.74787	49973	0	3
2021.07.15	0.74787	0.74872	0.74104	0.74221	47411	0	3
2021.07.16	0.74219	0.74427	0.73923	0.73953	45028	0	3
2021.07.19	0.74002	0.74148	0.73219	0.73432	68949	0	3
2021.07.20	0.73412	0.73571	0.72995	0.73285	53116	0	3
2021.07.21	0.73286	0.73624	0.72894	0.73570	43976	0	3
2021.07.22	0.73561	0.73973	0.73420	0.73767	46649	0	3
