<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.24	1.40720	1.41200	1.40235	1.40952	113633	0	0
2020.04.27	1.40821	1.41167	1.40287	1.40316	116494	0	0
2020.04.28	1.40317	1.40722	1.39357	1.39973	87697	0	0
2020.04.29	1.39960	1.40032	1.38752	1.38783	78126	0	0
2020.04.30	1.38767	1.39588	1.38498	1.39432	82024	0	0
2020.05.01	1.39427	1.41091	1.39259	1.40847	65201	0	0
2020.05.04	1.40820	1.41520	1.40509	1.40861	63922	0	0
2020.05.05	1.40849	1.40946	1.40077	1.40465	59464	0	0
2020.05.06	1.40460	1.41568	1.40227	1.41439	64539	0	0
2020.05.07	1.41424	1.41729	1.39526	1.39710	63751	0	0
2020.05.08	1.39713	1.39884	1.39082	1.39296	49663	0	0
2020.05.11	1.39314	1.40424	1.39000	1.40050	52843	0	0
2020.05.12	1.40047	1.40801	1.39721	1.40767	45659	0	0
2020.05.13	1.40759	1.41149	1.40060	1.41001	58378	0	0
2020.05.14	1.41000	1.41410	1.40321	1.40503	56939	0	0
2020.05.15	1.40501	1.41170	1.40182	1.41109	52792	0	0
2020.05.18	1.41035	1.41131	1.39355	1.39355	40127	0	0
2020.05.19	1.39351	1.39689	1.38663	1.39413	52367	0	0
2020.05.20	1.39403	1.39605	1.38678	1.39001	43601	0	0
2020.05.21	1.39009	1.39704	1.38909	1.39532	48372	0	0
2020.05.22	1.39531	1.40482	1.39409	1.40032	49660	0	0
2020.05.25	1.39899	1.40073	1.39683	1.39777	43097	0	0
2020.05.26	1.39773	1.39851	1.37569	1.37737	49113	0	0
2020.05.27	1.37741	1.38223	1.37275	1.37504	68451	0	0
2020.05.28	1.37501	1.37895	1.37338	1.37605	70741	0	0
2020.05.29	1.37596	1.38321	1.37142	1.37622	82555	0	0
2020.06.01	1.37730	1.38005	1.35581	1.35714	67805	0	0
2020.06.02	1.35710	1.35850	1.34837	1.35174	64716	0	0
2020.06.03	1.35162	1.35722	1.34799	1.34944	74963	0	0
2020.06.04	1.34942	1.35410	1.34678	1.34992	72563	0	0
2020.06.05	1.34996	1.35129	1.33909	1.34254	73469	0	0
2020.06.08	1.34105	1.34367	1.33563	1.33806	62921	0	0
2020.06.09	1.33809	1.34879	1.33592	1.34148	76037	0	0
2020.06.10	1.34143	1.34377	1.33151	1.34103	88108	0	0
2020.06.11	1.34108	1.36317	1.33961	1.36274	110664	0	0
2020.06.12	1.36253	1.36665	1.35269	1.35833	123670	0	0
2020.06.15	1.36042	1.36859	1.35460	1.35713	109733	0	0
2020.06.16	1.35714	1.36225	1.35046	1.35382	102713	0	0
2020.06.17	1.35374	1.35947	1.35118	1.35638	89172	0	0
2020.06.18	1.35641	1.36162	1.35214	1.35983	85692	0	0
2020.06.19	1.35966	1.36175	1.35470	1.36042	75875	0	0
2020.06.22	1.36120	1.36298	1.35182	1.35206	60759	0	0
2020.06.23	1.35198	1.35707	1.34857	1.35483	76820	0	0
2020.06.24	1.35472	1.36400	1.35277	1.36365	71198	0	0
2020.06.25	1.36366	1.36698	1.36073	1.36360	56431	0	0
2020.06.26	1.36324	1.37153	1.36273	1.36888	45439	0	0
2020.06.29	1.36617	1.37047	1.36468	1.36576	49163	0	0
2020.06.30	1.36576	1.36990	1.35696	1.35739	50706	0	0
2020.07.01	1.35760	1.36011	1.35453	1.35862	45563	0	0
2020.07.02	1.35862	1.36238	1.35597	1.35628	45535	0	0
2020.07.03	1.35636	1.35812	1.35431	1.35473	32565	0	0
2020.07.06	1.35569	1.35629	1.35195	1.35373	38638	0	1
2020.07.07	1.35377	1.36096	1.35245	1.36018	45529	0	0
2020.07.08	1.35986	1.36235	1.34923	1.35111	43267	0	0
