<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.06.06	1.13542	1.13923	1.13262	1.13528	142741	238558863000	7
2016.06.07	1.13528	1.13801	1.13383	1.13555	121862	232684807000	0
2016.06.08	1.13563	1.14103	1.13541	1.13938	118280	212773199000	0
2016.06.09	1.13936	1.14151	1.13052	1.13129	129055	234791241000	0
2016.06.10	1.13130	1.13210	1.12450	1.12533	133550	190393311000	7
2016.06.13	1.12478	1.13027	1.12316	1.12893	149811	265786291000	0
2016.06.14	1.12890	1.12980	1.11886	1.12056	139493	244088637000	0
2016.06.15	1.12068	1.12982	1.11894	1.12602	140534	235963293000	0
2016.06.16	1.12580	1.12946	1.11307	1.12230	179607	300730192000	0
2016.06.17	1.12231	1.12961	1.12225	1.12752	136556	211145043000	0
2016.06.20	1.13308	1.13821	1.13018	1.13121	141590	233207905000	0
2016.06.21	1.13093	1.13492	1.12428	1.12439	126239	193884624000	7
2016.06.22	1.12421	1.13372	1.12362	1.12947	122068	195905220000	0
2016.06.23	1.12937	1.14208	1.12930	1.13791	141171	202045596000	0
2016.06.24	1.13840	1.14278	1.09113	1.10912	298052	429939034000	0
2016.06.27	1.10024	1.10833	1.09705	1.10237	211882	220133990000	7
2016.06.28	1.10235	1.11112	1.10098	1.10647	154073	245216723000	0
2016.06.29	1.10641	1.11300	1.10489	1.11235	152566	224389449000	0
2016.06.30	1.11170	1.11541	1.10238	1.11048	172106	269098391000	0
2016.07.01	1.11014	1.11689	1.10716	1.11361	133497	192669653000	0
2016.07.04	1.11245	1.11591	1.10975	1.11532	94539	127629900000	7
2016.07.05	1.11528	1.11862	1.10619	1.10750	128447	202579142000	0
2016.07.06	1.10709	1.11112	1.10288	1.10989	159080	236141099000	0
2016.07.07	1.10969	1.11069	1.10522	1.10601	128413	186064340000	0
2016.07.08	1.10601	1.11198	1.10016	1.10497	124816	196034624000	7
2016.07.11	1.10448	1.10743	1.10153	1.10568	115627	177721959000	7
2016.07.12	1.10556	1.11260	1.10517	1.10604	142857	228770318000	7
2016.07.13	1.10595	1.11195	1.10418	1.10883	133693	217916982000	0
2016.07.14	1.10877	1.11644	1.10850	1.11191	150937	244531316000	0
2016.07.15	1.11173	1.11486	1.10240	1.10244	140172	290529903000	0
2016.07.18	1.10497	1.10839	1.10372	1.10748	108109	200246449000	0
2016.07.19	1.10735	1.10801	1.09996	1.10189	109057	197807737000	0
2016.07.20	1.10187	1.10298	1.09810	1.10129	105232	211557165000	0
2016.07.21	1.10122	1.10600	1.09793	1.10237	134508	218944428000	0
2016.07.22	1.10229	1.10406	1.09551	1.09747	118458	172925190000	7
2016.07.25	1.09725	1.09986	1.09516	1.09942	100144	158289821000	0
2016.07.26	1.09927	1.10294	1.09778	1.09855	103516	159726966000	0
2016.07.27	1.09821	1.10647	1.09314	1.10583	119260	178606045000	0
2016.07.28	1.10570	1.11191	1.10519	1.10757	117064	166491563000	0
2016.07.29	1.10763	1.11972	1.10720	1.11743	140309	180590161000	0
2016.08.01	1.11715	1.11831	1.11548	1.11614	101194	116101428000	7
2016.08.02	1.11602	1.12334	1.11573	1.12209	116373	132347202000	0
2016.08.03	1.12202	1.12265	1.11403	1.11474	99248	124760270000	0
2016.08.04	1.11478	1.11561	1.11135	1.11282	110679	136334548000	0
2016.08.05	1.11252	1.11608	1.10453	1.10867	103834	123608737000	7
2016.08.08	1.10795	1.11046	1.10716	1.10878	88072	110596909000	7
2016.08.09	1.10855	1.11221	1.10700	1.11169	93176	125489494000	0
2016.08.10	1.11151	1.11898	1.11114	1.11744	106029	148655311000	0
2016.08.11	1.11744	1.11909	1.11349	1.11354	107170	166227314000	7
2016.08.12	1.11356	1.12209	1.11309	1.11634	109188	166632641000	0
2016.08.15	1.11659	1.12032	1.11530	1.11825	83715	114617140000	0
2016.08.16	1.11820	1.13221	1.11770	1.12772	123356	156360444000	0
2016.08.17	1.12773	1.13155	1.12403	1.12874	114477	142330543000	0
2016.08.18	1.12837	1.13661	1.12837	1.13536	121750	152999492000	0
2016.08.19	1.13521	1.13591	1.13037	1.13237	110099	135203091000	0
2016.08.22	1.13087	1.13302	1.12707	1.13190	105292	135779511000	0
2016.08.23	1.13180	1.13548	1.13028	1.13041	100937	130072512000	7
2016.08.24	1.13039	1.13111	1.12448	1.12628	109242	135104472000	7
2016.08.25	1.12625	1.12970	1.12588	1.12833	82751	90615060000	0
2016.08.26	1.12783	1.13406	1.11806	1.11856	122981	144472650000	7
2016.08.29	1.11823	1.12074	1.11575	1.11889	94988	100022902000	7
2016.08.30	1.11873	1.11920	1.11317	1.11418	96173	107449318000	0
2016.08.31	1.11400	1.11650	1.11227	1.11571	103050	116624197000	0
2016.09.01	1.11562	1.12048	1.11272	1.11957	105894	115765550000	0
2016.09.02	1.11927	1.12518	1.11449	1.11449	119722	128319760000	0
